Brain Region,Abbreviation,Allen Area
Orbital area,ORB,Cortical plate
Olfactory tubercle,OT,Striatum
Vascular organ and of the lamina terminalis,OV,Hypothalamus
"Pons, motor related",P-mot,Pons
"Pons, behavioral state related",P-sat,Pons
"Pons, sensory related",P-sen,Pons
Posterior amygdalar nucleus,PA,Cortical subplate
Periaqueductal gray,PAG,Midbrain
Parasubiculum,PAR,Cortical plate
Parabrachial nucleus,PB,Pons
Parabigeminal nucleus,PBG,Midbrain
Paracentral nucleus,PCN,Thalamus
Posterodorsal preoptic nucleus,PD,Hypothalamus
Perirhinal area,PERI,Cortical plate
Parafascicular nucleus,PF,Thalamus
Posterior hypothalamic nucleus,PH,Hypothalamus
Prelimbic area,PL,Cortical plate
Dorsal premammillary nucleus,PMd,Hypothalamus
Ventral premammillary nucleus,PMv,Hypothalamus
Paranigral nucleus,PN,Midbrain
Postsubiculum,POST,Cortical plate
Peripeduncular nucleus,PP,Thalamus
Pedunculopontine nucleus,PPN,Midbrain
Perireunensis nucleus,PR,Thalamus
Presubiculum,PRE,Cortical plate
Pretectal region,PRT,Midbrain
Parastrial nucleus,PS,Hypothalamus
Preparasubthalamic nucleus,PST,Hypothalamus
Parasubthalamic nucleus,PSTN,Hypothalamus
Posterior parietal association areas,PTLp,Cortical plate
Paraventricular nucleus of the thalamus,PVT,Thalamus
Periventricular zone,PVZ,Hypothalamus
Perifornical nucleus,PeF,Hypothalamus
Prosubiculum,ProS,Cortical plate
Retrochiasmic area,RCH,Hypothalamus
Nucleus of reuniens,RE,Thalamus
Rhomboid nucleus,RH,Thalamus
Rostral linear nucleus raphe,RL,Midbrain
Red nucleus,RN,Midbrain
"Midbrain reticular nucleus, retrorubral area",RR,Midbrain
Retrosplenial area,RSP,Cortical plate
Reticular nucleus of the thalamus,RT,Thalamus
Nucleus sagulum,SAG,Midbrain
Subparaventricular zone,SBPV,Hypothalamus
Suprachiasmatic nucleus,SCH,Hypothalamus
"Superior colliculus, motor related",SCm,Midbrain
"Superior colliculus, sensory related",SCs,Midbrain
Septofimbrial nucleus,SF,Striatum
Subfornical organ,SFO,Hypothalamus
Septohippocampal nucleus,SH,Striatum
Substantia innominata,SI,Pallidum
"Substantia nigra, compact part",SNc,Midbrain
"Substantia nigra, reticular part",SNr,Midbrain
Subparafascicular area,SPA,Thalamus
Subparafascicular nucleus,SPF,Thalamus
Somatosensory areas,SS,Cortical plate
Subthalamic nucleus,STN,Hypothalamus
Subiculum,SUB,Cortical plate
Temporal association areas,TEa,Cortical plate
Triangular nucleus of septum,TRS,Pallidum
Tuberal nucleus,TU,Hypothalamus
Ventral anterior-lateral complex of the thalamus,VAL,Thalamus
Vermal regions,VERM,Cerebellum
Visual areas,VIS,Cortical plate
Visceral area,VISC,Cortical plate
Ventrolateral preoptic nucleus,VLPO,Hypothalamus
Ventral medial nucleus of the thalamus,VM,Thalamus
Ventromedial hypothalamic nucleus,VMH,Hypothalamus
Ventromedial preoptic nucleus,VMPO,Hypothalamus
Ventral posterior complex of the thalamus,VP,Thalamus
Ventral tegmental area,VTA,Midbrain
Ventral tegmental nucleus,VTN,Midbrain
Vestibulocerebellar nucleus,VeCB,Cerebellum
Zona incerta,ZI,Hypothalamus
